Job_Title,Min_Salary,Max_Salary,Company,Ratings,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$145K,$225K,Kingfisher Systems,4.5,"McLean, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),Unknown
Chief Scientist,$145K,$225K,TrueAccord,3.4,Remote,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$145K,$225K,ALTA IT Services,3.9,"Woodlawn, MD","Rockville, MD",201 to 500 employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Unknown
Data Scientist,$145K,$225K,Kollasoft Inc.,3.2,United States,"Scottsdale, AZ",1 to 50 employees,,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Unknown
Data Scientist,$145K,$225K,Kollasoft Inc.,3.2,"New York, NY","Irving, TX",Unknown,,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$145K,$225K,ASRC Federal Holding Company,3.4,"Reston, VA","Beltsville, MD",5001 to 10000 employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),Unknown
Data Scientist,$145K,$225K,Adwait Algorithm,4.4,"New York, NY","Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
"Health Plan Data Analyst, Sr",$145K,$225K,Cook Children's Health Care System,3.8,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Children's Health, Texas Health Resources, Baylor Scott & White Health"
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",$145K,$225K,Rubius Therapeutics,3.8,"Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),Unknown
Data Scientist,$145K,$225K,Cambridge FX,3.5,"Atlanta, GA","Toronto, Canada",201 to 500 employees,1992,Company - Public,Financial Transaction Processing,Finance,$100 to $500 million (USD),Unknown
Senior Data Scientist,$145K,$225K,Metromile,3.8,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2011,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,Unknown
Data Scientist,$145K,$225K,Criteo,3.9,"Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus"
Data Scientist,$145K,$225K,Advance Sourcing Concepts,3.4,"Pittsburgh, PA","Pittsburgh, PA",51 to 200 employees,,Company - Private,Unknown,Unknown,$1 to $5 million (USD),Unknown
Data Scientist,$145K,$225K,Enterprise Solutions Inc,3.8,"New York, NY","Naperville, IL",51 to 200 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Unknown
Analytics - Business Assurance Data Analyst,$145K,$225K,GreatAmerica Financial Services,4.6,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),Unknown
Data Scientist,$145K,$225K,Microagility,,"New York, NY","Princeton, NJ",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),Unknown
Data Scientist,$145K,$225K,"Conch Technologies, Inc",4.6,"Concord, CA","Memphis, TN",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Unknown
"Development Scientist, Voltaren",$145K,$225K,GSK,3.9,"Richmond, VA","Brentford, United Kingdom",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, AstraZeneca, Merck"
Data Scientist,$145K,$225K,"Rainmaker Resources, LLC",,"Cincinnati, OH","Cincinnati, OH",1 to 50 employees,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$147K,GovTech,3.7,"San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,Government,Federal Agencies,Government,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$147K,Intellectual Ventures,3.3,"Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown
Data Engineer,$79K,$147K,Rocket Lawyer,4.4,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),Unknown
Data Scientist,$79K,$147K,22nd Century Technologies,3.7,"Oakland, CA","Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),Unknown
Data Scientist,$79K,$147K,Huxley,3.3,"San Francisco, CA","London, United Kingdom",201 to 500 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Unknown
Data Scientist,$79K,$147K,FM Systems,3.4,"Boston, MA","Raleigh, NC",51 to 200 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),"Archibus, iOffice, Planon"
Data Scientist,$79K,$147K,B4Corp,,"Reston, VA","Leesburg, VA",51 to 200 employees,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
Machine Learning Engineer,$79K,$147K,Mteq,3.7,"Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek"
Principal Data & Analytics Platform Engineer,$79K,$147K,Blue Cross and Blue Shield of North Carolina,3.7,"Durham, NC","Durham, NC",1001 to 5000 employees,1933,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),Unknown
Machine Learning Engineer/Scientist,$79K,$147K,Jane Street,4.8,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$147K,SSATI,5.0,"McLean, VA","Annapolis Junction, MD",1 to 50 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),Unknown
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$79K,$147K,Novartis,3.9,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown
Data Scientist,$79K,$147K,Solving IT International Inc,3.4,"Chicago, IL","Chicago, IL",501 to 1000 employees,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$147K,The Davey Tree Expert Company,3.3,"Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),"ACRT Services, Bartlett Tree Experts"
Data Scientist,$79K,$147K,Centauri,4.6,"Reston, VA","Chantilly, VA",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton"
Data Scientist,$79K,$147K,Stride Search,,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,,Company - Private,Unknown,Unknown,Less than $1 million (USD),Unknown
Machine Learning Engineer,$79K,$147K,Software Engineering Institute,2.6,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,Unknown
Data Analyst - Unilever Prestige,$79K,$147K,Dermalogica,3.8,"Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's"
Data Scientist,$79K,$147K,TechProjects,4.8,"New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
"VP, Data Science",$79K,$147K,7Park Data,3.9,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Unknown
Data Scientist,$122K,$146K,Netskope,4.0,"Santa Clara, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock"
Data Scientist,$122K,$146K,Eversight,4.2,"Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),Unknown
Senior Business Intelligence Analyst,$122K,$146K,Protolabs,3.7,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),Unknown
Data Scientist,$122K,$146K,Ameritas Life Insurance Corp,3.0,"Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),Unknown
Data Engineer - Kafka,$122K,$146K,Western Digital,3.5,"San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba"
Data Scientist,$122K,$146K,"Shimento, Inc.",2.9,"Santa Clara, CA","Benicia, CA",1 to 50 employees,,Company - Private,Unknown,Unknown,$1 to $5 million (USD),Unknown
Data Scientist,$122K,$146K,Averity,5.0,"New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Unknown
Data Scientist,$122K,$146K,Praxis Engineering,4.7,"Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton"
Data Scientist,$122K,$146K,Point72 Ventures,,"Palo Alto, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Decision Scientist,$122K,$146K,Johns Hopkins University Applied Physics Laboratory,4.5,"Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman"
Data Scientist,$122K,$146K,Cambridge Mobile Telematics,4.9,"Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown
Data Science All Star Program - Data Engineer Track,$122K,$146K,Blend360,4.6,"Columbia, MD","Columbia, MD",51 to 200 employees,2002,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Unknown
Data Scientist - TS/SCI FSP or CI Required,$122K,$146K,Phoenix Operations Group,5.0,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Unknown
Data Analyst,$122K,$146K,Nolij Consulting,3.9,"Falls Church, VA","Vienna, VA",51 to 200 employees,2012,Company - Public,Consulting,Business Services,$1 to $5 million (USD),Unknown
